vehID,depart,from,to,arrival,arrival_speed,type
r_tun_axs_KS_____1_small_truck.0,7011.55,lane_entry_D,lane_exit_C,7242.19,13.68,small_truck
r_tun_axs_KS_____1_motorbike.0,7579.02,lane_entry_D,lane_exit_C,7850.38,11.09,motorbike
r_tun_axs_KS_____1_car_aggr2.0,7584.79,lane_entry_D,lane_exit_C,7856.45,11.75,car_aggr2
r_tun_axs_KS_____1_car_aggr2.1,8013.15,lane_entry_D,lane_exit_C,8274.43,12.42,car_aggr2
r_and_alt_1_1_car_aggr3.0,8360.36,lane_entry_D,lane_exit_C,8580.79,13.92,car_aggr3
r_tun_axs_KS_____1_car_aggr4.0,8668.98,lane_entry_D,lane_exit_C,8885.33,14.42,car_aggr4
r_tun_axs_KS_____1_car_aggr5.0,9385.56,lane_entry_D,lane_exit_C,9649.39,11.46,car_aggr5
r_and_alt_1_4_small_truck.0,17517.56,lane_entry_D,lane_exit_C,17763.52,12.72,small_truck
r_and_alt_1_4_car_aggr1.0,19727.06,lane_entry_D,lane_exit_C,20002.83,11.47,car_aggr1
r_and_alt_1_4_small_truck.1,19730.51,lane_entry_D,lane_exit_C,20006.81,12.0,small_truck
r_and_alt_1_7_car_aggr3.0,27048.21,lane_entry_D,lane_exit_C,27305.73,14.62,car_aggr3
r_and_alt_1_7_car_aggr3.1,27052.25,lane_entry_D,lane_exit_C,27310.28,16.02,car_aggr3
r_and_alt_1_7_car_aggr3.2,27214.94,lane_entry_D,lane_exit_C,27483.71,14.47,car_aggr3
r_and_alt_1_7_car_aggr4.0,27372.75,lane_entry_D,lane_exit_C,27607.69,16.57,car_aggr4
r_and_alt_1_7_car_aggr3.3,28322.91,lane_entry_D,lane_exit_C,28530.27,15.58,car_aggr3
r_and_alt_1_7_car_aggr3.4,28923.05,lane_entry_D,lane_exit_C,29134.1,15.02,car_aggr3
r_and_alt_1_7_motorbike.0,29560.16,lane_entry_D,lane_exit_C,29822.24,11.72,motorbike
r_and_alt_1_7_car_aggr3.5,29585.54,lane_entry_D,lane_exit_C,29828.76,14.91,car_aggr3
r_and_alt_1_7_small_truck.0,30221.36,lane_entry_D,lane_exit_C,30453.43,13.03,small_truck
