vehID,depart,from,to,arrival,arrival_speed,type
r_alt_and_1_1_car_aggr4.0,6606.95,lane_entry_A,lane_exit_D,6983.1,16.5,car_aggr4
r_alt_and_1_1_car_aggr4.1,7003.33,lane_entry_A,lane_exit_D,7320.52,19.26,car_aggr4
r_alt_and_1_1_motorbike.0,8642.39,lane_entry_A,lane_exit_D,8952.32,21.0,motorbike
r_alt_and_1_3_car_aggr3.0,15035.96,lane_entry_A,lane_exit_D,15326.4,20.87,car_aggr3
r_alt_and_1_5_big_truck.0,21966.73,lane_entry_A,lane_exit_D,22417.94,13.74,big_truck
r_alt_and_1_5_car_aggr2.0,22529.72,lane_entry_A,lane_exit_D,22888.24,16.9,car_aggr2
r_luz_oba_KS_____5_car_aggr4.0,22555.62,lane_entry_A,lane_exit_D,22891.86,18.13,car_aggr4
r_alt_and_1_5_car_aggr3.0,22560.18,lane_entry_A,lane_exit_D,22896.32,17.1,car_aggr3
r_luz_oba_KS_____5_car_aggr3.0,23673.91,lane_entry_A,lane_exit_D,24001.26,19.9,car_aggr3
r_alt_and_1_7_car_aggr4.0,28180.4,lane_entry_A,lane_exit_D,28543.95,20.54,car_aggr4
r_alt_and_1_8_car_aggr3.0,30360.65,lane_entry_A,lane_exit_D,30650.7,20.88,car_aggr3
r_alt_and_1_8_car_aggr2.0,30787.45,lane_entry_A,lane_exit_D,31133.63,17.84,car_aggr2
r_alt_and_1_8_car_aggr4.0,30792.88,lane_entry_A,lane_exit_D,31137.3,17.87,car_aggr4
r_alt_and_1_8_car_aggr4.1,31285.78,lane_entry_A,lane_exit_D,31570.66,22.41,car_aggr4
r_alt_and_1_8_car_aggr2.1,31866.13,lane_entry_A,lane_exit_D,32272.66,14.95,car_aggr2
r_alt_and_1_8_car_aggr4.2,31869.93,lane_entry_A,lane_exit_D,32276.39,15.07,car_aggr4
r_luz_oba_KS_____8_small_truck.0,31995.69,lane_entry_A,lane_exit_D,32364.46,17.21,small_truck
r_alt_and_1_8_car_aggr5.0,31999.12,lane_entry_A,lane_exit_D,32367.64,17.17,car_aggr5
r_luz_oba_KS_____8_car_aggr3.0,32234.78,lane_entry_A,lane_exit_D,32532.4,20.38,car_aggr3
r_alt_and_1_8_small_truck.0,32277.49,lane_entry_A,lane_exit_D,32601.94,18.72,small_truck
r_alt_and_1_8_car_aggr1.0,32515.31,lane_entry_A,lane_exit_D,32809.78,21.07,car_aggr1
r_alt_and_1_8_car_aggr2.2,32852.06,lane_entry_A,lane_exit_D,33232.11,16.44,car_aggr2
r_luz_oba_KS_____8_car_aggr2.0,32863.07,lane_entry_A,lane_exit_D,33237.35,16.71,car_aggr2
r_alt_and_1_8_car_aggr3.1,33026.42,lane_entry_A,lane_exit_D,33364.82,17.8,car_aggr3
r_alt_and_1_8_car_aggr2.3,33274.48,lane_entry_A,lane_exit_D,33664.67,16.4,car_aggr2
r_alt_and_1_8_car_aggr3.2,33452.34,lane_entry_A,lane_exit_D,33769.57,19.92,car_aggr3
r_alt_and_1_8_car_aggr3.3,33544.11,lane_entry_A,lane_exit_D,33886.48,17.93,car_aggr3
r_alt_and_1_8_big_truck.0,33936.69,lane_entry_A,lane_exit_D,34360.75,14.68,big_truck
r_alt_and_1_8_car_aggr5.1,34175.23,lane_entry_A,lane_exit_D,34601.55,13.97,car_aggr5
r_alt_and_1_8_car_aggr2.4,34181.49,lane_entry_A,lane_exit_D,34607.72,14.75,car_aggr2
r_luz_oba_KS_____8_car_aggr4.0,34185.44,lane_entry_A,lane_exit_D,34611.46,14.66,car_aggr4
r_alt_and_1_8_car_aggr4.3,34189.38,lane_entry_A,lane_exit_D,34615.28,14.29,car_aggr4
r_luz_oba_KS_____8_car_aggr4.1,34193.29,lane_entry_A,lane_exit_D,34618.97,14.64,car_aggr4
r_alt_and_1_8_car_aggr3.4,34198.14,lane_entry_A,lane_exit_D,34623.46,14.34,car_aggr3
r_luz_oba_KS_____8_car_aggr3.1,34202.63,lane_entry_A,lane_exit_D,34627.69,14.89,car_aggr3
r_alt_and_1_9_car_aggr3.0,34206.99,lane_entry_A,lane_exit_D,34632.07,14.33,car_aggr3
r_luz_oba_KS_____8_car_aggr2.1,34749.64,lane_entry_A,lane_exit_D,35164.72,15.26,car_aggr2
r_luz_oba_KS_____8_car_aggr3.2,34754.15,lane_entry_A,lane_exit_D,35168.94,14.71,car_aggr3
r_alt_and_1_9_car_aggr2.0,34759.99,lane_entry_A,lane_exit_D,35174.6,14.69,car_aggr2
r_alt_and_1_9_motorbike.0,34764.08,lane_entry_A,lane_exit_D,35178.27,14.86,motorbike
r_luz_oba_KS_____8_car_aggr3.3,34768.57,lane_entry_A,lane_exit_D,35182.89,14.85,car_aggr3
r_luz_oba_KS_____8_car_aggr3.4,34773.04,lane_entry_A,lane_exit_D,35187.05,14.7,car_aggr3
r_alt_and_1_9_car_aggr5.0,34776.47,lane_entry_A,lane_exit_D,35190.23,15.53,car_aggr5
r_luz_oba_KS_____8_car_aggr2.2,34782.56,lane_entry_A,lane_exit_D,35196.34,15.15,car_aggr2
r_luz_oba_KS_____8_car_aggr5.0,34791.59,lane_entry_A,lane_exit_D,35199.47,14.55,car_aggr5
r_alt_and_1_9_car_aggr1.0,34919.84,lane_entry_A,lane_exit_D,35293.73,16.22,car_aggr1
r_alt_and_1_9_car_aggr2.1,34925.82,lane_entry_A,lane_exit_D,35299.27,17.24,car_aggr2
r_alt_and_1_9_small_truck.0,34929.54,lane_entry_A,lane_exit_D,35302.81,16.26,small_truck
r_alt_and_1_9_car_aggr2.2,35006.64,lane_entry_A,lane_exit_D,35378.11,16.9,car_aggr2
r_luz_oba_KS_____8_car_aggr3.5,35011.07,lane_entry_A,lane_exit_D,35382.3,17.11,car_aggr3
r_alt_and_1_9_car_aggr4.0,35014.94,lane_entry_A,lane_exit_D,35385.97,16.42,car_aggr4
r_alt_and_1_9_car_aggr4.1,35018.79,lane_entry_A,lane_exit_D,35389.62,16.33,car_aggr4
r_alt_and_1_9_car_aggr3.1,35212.12,lane_entry_A,lane_exit_D,35552.65,17.72,car_aggr3
r_luz_oba_KS_____8_motorbike.0,35216.67,lane_entry_A,lane_exit_D,35557.25,18.48,motorbike
r_luz_oba_KS_____9_car_aggr3.0,35352.3,lane_entry_A,lane_exit_D,35662.35,20.46,car_aggr3
r_alt_and_1_9_car_aggr3.2,35636.2,lane_entry_A,lane_exit_D,35953.52,19.49,car_aggr3
r_alt_and_1_9_car_aggr1.1,35935.19,lane_entry_A,lane_exit_D,36304.66,17.24,car_aggr1
r_alt_and_1_9_car_aggr2.3,35940.74,lane_entry_A,lane_exit_D,36309.9,16.18,car_aggr2
r_luz_oba_KS_____9_car_aggr3.1,36024.75,lane_entry_A,lane_exit_D,36378.25,16.76,car_aggr3
r_alt_and_1_9_car_aggr1.2,36102.22,lane_entry_A,lane_exit_D,36456.24,18.03,car_aggr1
r_alt_and_1_9_motorbike.1,36106.18,lane_entry_A,lane_exit_D,36459.82,16.34,motorbike
r_luz_oba_KS_____9_small_truck.0,36209.11,lane_entry_A,lane_exit_D,36551.93,18.13,small_truck
r_alt_and_1_9_car_aggr3.3,36213.6,lane_entry_A,lane_exit_D,36556.06,17.9,car_aggr3
r_alt_and_1_9_car_aggr3.4,36217.92,lane_entry_A,lane_exit_D,36560.27,17.97,car_aggr3
r_alt_and_1_9_car_aggr2.4,36266.86,lane_entry_A,lane_exit_D,36613.72,18.31,car_aggr2
r_alt_and_1_9_car_aggr1.3,36434.87,lane_entry_A,lane_exit_D,36803.23,16.46,car_aggr1
r_alt_and_1_9_small_truck.1,36438.5,lane_entry_A,lane_exit_D,36806.75,17.38,small_truck
r_alt_and_1_9_car_aggr2.5,36546.7,lane_entry_A,lane_exit_D,36897.94,17.49,car_aggr2
r_luz_oba_KS_____9_big_truck.0,36742.16,lane_entry_A,lane_exit_D,37095.14,17.87,big_truck
r_alt_and_1_9_car_aggr2.6,36748.14,lane_entry_A,lane_exit_D,37100.34,17.74,car_aggr2
r_luz_oba_KS_____9_small_truck.1,36752.43,lane_entry_A,lane_exit_D,37104.47,17.78,small_truck
r_alt_and_1_9_car_aggr5.1,36755.88,lane_entry_A,lane_exit_D,37107.54,18.71,car_aggr5
r_luz_oba_KS_____9_car_aggr3.2,36760.6,lane_entry_A,lane_exit_D,37112.43,17.86,car_aggr3
r_luz_oba_KS_____9_car_aggr3.3,36764.84,lane_entry_A,lane_exit_D,37116.61,17.2,car_aggr3
r_alt_and_1_9_car_aggr5.2,37094.97,lane_entry_A,lane_exit_D,37499.38,15.4,car_aggr5
r_alt_and_1_9_car_aggr3.5,37100.92,lane_entry_A,lane_exit_D,37504.18,14.93,car_aggr3
r_luz_oba_KS_____9_car_aggr4.0,37255.38,lane_entry_A,lane_exit_D,37609.77,17.36,car_aggr4
r_alt_and_1_9_car_aggr3.6,37451.27,lane_entry_A,lane_exit_D,37775.84,18.68,car_aggr3
r_luz_oba_KS_____9_car_aggr3.4,37568.65,lane_entry_A,lane_exit_D,37919.13,17.18,car_aggr3
r_luz_oba_KS_____9_car_aggr2.0,37589.22,lane_entry_A,lane_exit_D,37924.69,17.99,car_aggr2
r_alt_and_1_10_car_aggr3.0,37593.54,lane_entry_A,lane_exit_D,37928.8,17.95,car_aggr3
