vehID,depart,from,to,arrival,arrival_speed,type
r_got_luz_KS_1_big_truck.0,5698.36,lane_entry_B,lane_exit_A,5855.55,15.39,big_truck
r_got_luz_KS_1_car_aggr4.0,5702.8,lane_entry_B,lane_exit_A,5859.29,16.06,car_aggr4
r_got_luz_KS_1_motorbike.0,6177.48,lane_entry_B,lane_exit_A,6310.48,18.33,motorbike
r_got_luz_KS_1_car_aggr2.0,6468.52,lane_entry_B,lane_exit_A,6607.47,18.0,car_aggr2
r_got_luz_KS_1_car_aggr1.0,6679.1,lane_entry_B,lane_exit_A,6799.62,20.12,car_aggr1
r_got_luz_KS_1_car_aggr2.1,7094.18,lane_entry_B,lane_exit_A,7210.05,21.72,car_aggr2
r_got_luz_KS_1_small_truck.0,7742.42,lane_entry_B,lane_exit_A,7869.41,19.79,small_truck
r_got_luz_KS_2_car_aggr4.0,8794.75,lane_entry_B,lane_exit_A,8908.55,21.78,car_aggr4
r_got_luz_KS_2_car_aggr4.1,10669.14,lane_entry_B,lane_exit_A,10829.24,15.16,car_aggr4
r_got_luz_KS_2_car_aggr5.0,10672.49,lane_entry_B,lane_exit_A,10832.41,14.79,car_aggr5
r_got_luz_KS_2_car_aggr5.1,11394.96,lane_entry_B,lane_exit_A,11566.29,14.14,car_aggr5
r_got_luz_KS_2_car_aggr5.2,11545.66,lane_entry_B,lane_exit_A,11666.54,20.33,car_aggr5
r_got_luz_KS_4_car_aggr1.0,15600.52,lane_entry_B,lane_exit_A,15726.19,19.35,car_aggr1
r_got_luz_KS_4_small_truck.0,18217.95,lane_entry_B,lane_exit_A,18377.66,15.0,small_truck
r_got_luz_KS_4_motorbike.0,18222.04,lane_entry_B,lane_exit_A,18381.23,15.89,motorbike
r_got_luz_KS_4_motorbike.1,18225.68,lane_entry_B,lane_exit_A,18384.92,14.58,motorbike
r_oba_luz_KS_Bf__4_car_aggr4.0,18703.1,lane_entry_B,lane_exit_A,18791.53,27.87,car_aggr4
r_oba_luz_KS_Bf__4_car_aggr1.0,19804.09,lane_entry_B,lane_exit_A,19973.12,14.31,car_aggr1
r_oba_luz_KS_Bf__4_car_aggr2.0,19809.48,lane_entry_B,lane_exit_A,19978.49,14.03,car_aggr2
r_got_luz_KS_5_car_aggr3.0,19818.8,lane_entry_B,lane_exit_A,19982.81,14.05,car_aggr3
r_got_luz_KS_5_car_aggr3.1,20326.25,lane_entry_B,lane_exit_A,20430.6,23.42,car_aggr3
r_got_luz_KS_5_car_aggr2.0,20849.39,lane_entry_B,lane_exit_A,20972.98,19.36,car_aggr2
r_got_luz_KS_5_big_truck.0,21640.29,lane_entry_B,lane_exit_A,21798.52,15.84,big_truck
r_got_luz_KS_5_car_aggr4.0,21772.94,lane_entry_B,lane_exit_A,21895.22,20.78,car_aggr4
r_got_luz_KS_5_motorbike.0,22575.08,lane_entry_B,lane_exit_A,22690.99,20.83,motorbike
r_got_luz_KS_6_car_aggr2.0,23681.17,lane_entry_B,lane_exit_A,23823.59,17.77,car_aggr2
r_got_luz_KS_6_car_aggr1.0,23824.38,lane_entry_B,lane_exit_A,23972.5,16.65,car_aggr1
r_got_luz_KS_6_car_aggr2.1,23975.9,lane_entry_B,lane_exit_A,24098.77,20.11,car_aggr2
r_got_luz_KS_6_car_aggr3.0,24137.16,lane_entry_B,lane_exit_A,24254.45,21.38,car_aggr3
r_got_luz_KS_6_car_aggr1.1,24834.1,lane_entry_B,lane_exit_A,24990.99,15.38,car_aggr1
r_got_luz_KS_6_car_aggr3.1,24838.53,lane_entry_B,lane_exit_A,24995.21,15.9,car_aggr3
r_got_luz_KS_6_car_aggr4.0,24842.17,lane_entry_B,lane_exit_A,24998.98,15.24,car_aggr4
r_got_luz_KS_6_motorbike.0,24845.97,lane_entry_B,lane_exit_A,25002.51,14.73,motorbike
r_got_luz_KS_6_car_aggr5.0,25158.94,lane_entry_B,lane_exit_A,25278.38,20.19,car_aggr5
r_got_luz_KS_7_motorbike.0,26472.7,lane_entry_B,lane_exit_A,26614.89,16.71,motorbike
r_got_luz_KS_7_car_aggr1.0,26547.19,lane_entry_B,lane_exit_A,26694.06,16.74,car_aggr1
r_got_luz_KS_7_car_aggr3.0,26552.44,lane_entry_B,lane_exit_A,26698.21,16.71,car_aggr3
r_got_luz_KS_7_car_aggr4.0,27086.42,lane_entry_B,lane_exit_A,27229.67,17.27,car_aggr4
r_got_luz_KS_7_car_aggr3.1,27090.97,lane_entry_B,lane_exit_A,27234.16,17.67,car_aggr3
r_got_luz_KS_7_car_aggr2.0,27096.62,lane_entry_B,lane_exit_A,27239.81,17.17,car_aggr2
r_got_luz_KS_7_car_aggr3.2,27100.8,lane_entry_B,lane_exit_A,27243.91,17.29,car_aggr3
r_got_luz_KS_7_car_aggr4.1,27104.54,lane_entry_B,lane_exit_A,27247.51,17.84,car_aggr4
r_got_luz_KS_7_motorbike.1,27200.28,lane_entry_B,lane_exit_A,27299.6,24.98,motorbike
r_got_luz_KS_7_car_aggr1.1,27656.73,lane_entry_B,lane_exit_A,27792.55,17.78,car_aggr1
r_got_luz_KS_7_car_aggr4.2,27660.5,lane_entry_B,lane_exit_A,27796.18,18.13,car_aggr4
r_got_luz_KS_7_car_aggr1.2,27781.34,lane_entry_B,lane_exit_A,27912.77,18.99,car_aggr1
r_got_luz_KS_7_car_aggr1.3,27787.02,lane_entry_B,lane_exit_A,27918.43,18.69,car_aggr1
r_got_luz_KS_7_car_aggr4.3,27992.6,lane_entry_B,lane_exit_A,28103.71,22.42,car_aggr4
r_got_luz_KS_7_big_truck.0,28808.87,lane_entry_B,lane_exit_A,28962.34,15.95,big_truck
r_got_luz_KS_7_car_aggr4.4,28813.36,lane_entry_B,lane_exit_A,28966.04,16.05,car_aggr4
r_got_luz_KS_7_car_aggr1.4,29103.29,lane_entry_B,lane_exit_A,29265.4,14.74,car_aggr1
r_got_luz_KS_7_car_aggr1.5,29109.05,lane_entry_B,lane_exit_A,29271.16,15.25,car_aggr1
r_got_luz_KS_7_car_aggr3.3,29113.16,lane_entry_B,lane_exit_A,29275.39,14.58,car_aggr3
r_got_luz_KS_7_big_truck.1,29493.04,lane_entry_B,lane_exit_A,29652.6,15.42,big_truck
r_got_luz_KS_7_car_aggr2.1,29661.22,lane_entry_B,lane_exit_A,29793.94,18.01,car_aggr2
r_got_luz_KS_7_car_aggr2.2,29755.53,lane_entry_B,lane_exit_A,29899.46,17.09,car_aggr2
r_got_luz_KS_8_car_aggr1.0,30173.37,lane_entry_B,lane_exit_A,30314.86,17.53,car_aggr1
r_got_luz_KS_8_car_aggr2.0,30178.67,lane_entry_B,lane_exit_A,30320.07,17.47,car_aggr2
r_got_luz_KS_8_car_aggr1.1,30587.1,lane_entry_B,lane_exit_A,30764.49,14.24,car_aggr1
r_got_luz_KS_8_car_aggr4.0,30590.99,lane_entry_B,lane_exit_A,30768.34,14.16,car_aggr4
r_got_luz_KS_8_big_truck.0,30645.36,lane_entry_B,lane_exit_A,30791.22,16.72,big_truck
r_got_luz_KS_8_car_aggr5.0,30649.27,lane_entry_B,lane_exit_A,30794.31,16.65,car_aggr5
r_got_luz_KS_8_motorbike.0,30653.15,lane_entry_B,lane_exit_A,30798.02,18.28,motorbike
r_got_luz_KS_8_motorbike.1,30766.42,lane_entry_B,lane_exit_A,30899.18,18.1,motorbike
r_got_luz_KS_8_car_aggr1.2,30963.43,lane_entry_B,lane_exit_A,31106.28,17.58,car_aggr1
r_got_luz_KS_8_car_aggr5.1,30966.7,lane_entry_B,lane_exit_A,31109.37,17.84,car_aggr5
