vehID,depart,from,to,arrival,arrival_speed,type
r_axs_got_aEr____1_car_aggr4.0,5133.83,lane_entry_A,lane_exit_C,5428.39,19.05,car_aggr4
r_kla_fur_KS_____1_car_aggr5.0,5690.11,lane_entry_A,lane_exit_C,6003.1,22.15,car_aggr5
r_luz_fur_KS_____1_car_aggr3.0,6007.9,lane_entry_A,lane_exit_C,6398.86,14.35,car_aggr3
r_luz_fur_KS_____1_car_aggr5.0,6010.85,lane_entry_A,lane_exit_C,6402.1,15.59,car_aggr5
r_luz_fur_KS_____1_small_truck.0,6015.33,lane_entry_A,lane_exit_C,6406.53,14.51,small_truck
r_kla_fur_KS_____1_car_aggr2.0,6089.05,lane_entry_A,lane_exit_C,6493.8,17.25,car_aggr2
r_kla_fur_KS_____1_car_aggr1.0,6095.26,lane_entry_A,lane_exit_C,6506.38,17.16,car_aggr1
r_luz_got_aEr_____1_motorbike.0,6230.9,lane_entry_A,lane_exit_C,6611.49,17.93,motorbike
r_luz_fur_KS_____1_car_aggr1.0,6353.58,lane_entry_A,lane_exit_C,6814.39,14.81,car_aggr1
r_luz_fur_KS_____1_motorbike.0,6357.12,lane_entry_A,lane_exit_C,6818.05,14.04,motorbike
r_alt_and_1_1_motorbike.0,6360.67,lane_entry_A,lane_exit_C,6821.69,14.4,motorbike
r_kla_oba_KS_____1_motorbike.0,6364.05,lane_entry_A,lane_exit_C,6825.3,14.36,motorbike
r_luz_fur_KS_____1_car_aggr5.1,6610.0,lane_entry_A,lane_exit_C,7020.86,17.32,car_aggr5
r_alt_and_1_1_car_aggr5.0,6663.72,lane_entry_A,lane_exit_C,7023.97,16.46,car_aggr5
r_luz_got_aEr_____1_car_aggr1.0,7130.94,lane_entry_A,lane_exit_C,7488.77,18.71,car_aggr1
r_luz_fur_KS_____1_motorbike.1,7148.88,lane_entry_A,lane_exit_C,7492.18,18.02,motorbike
r_luz_got_aEr_____1_car_aggr5.0,7364.62,lane_entry_A,lane_exit_C,7630.67,18.57,car_aggr5
r_luz_fur_KS_____1_small_truck.1,7467.08,lane_entry_A,lane_exit_C,7844.35,17.64,small_truck
r_luz_fur_KS_____1_car_aggr5.2,7470.13,lane_entry_A,lane_exit_C,7847.42,18.28,car_aggr5
r_ers_ams_1_2_car_aggr1.0,7518.12,lane_entry_A,lane_exit_C,7945.65,15.96,car_aggr1
r_alt_and_1_1_car_aggr1.0,7757.09,lane_entry_A,lane_exit_C,8204.87,15.57,car_aggr1
r_axs_got_aEr____1_car_aggr2.0,7785.85,lane_entry_A,lane_exit_C,8209.98,14.57,car_aggr2
r_ers_ams_1_2_motorbike.0,7938.5,lane_entry_A,lane_exit_C,8319.22,17.27,motorbike
r_axs_got_aEr____1_car_aggr4.1,7941.67,lane_entry_A,lane_exit_C,8322.97,18.3,car_aggr4
r_luz_fur_KS_____1_car_aggr2.0,8063.62,lane_entry_A,lane_exit_C,8414.5,19.72,car_aggr2
