vehID,depart,from,to,arrival,arrival_speed,type
r_axs_tun_aEr_eGo_1_car_aggr4.0,5691.26,lane_entry_C,lane_exit_B,5762.44,14.35,car_aggr4
r_luz_tun_aAm_eGo_1_car_aggr3.0,7977.39,lane_entry_C,lane_exit_B,8073.11,12.98,car_aggr3
r_luz_tun_aAm_eGo_1_big_truck.0,8203.64,lane_entry_C,lane_exit_B,8316.35,10.1,big_truck
r_axs_tun_aEr_eGo_1_car_aggr3.0,9103.28,lane_entry_C,lane_exit_B,9194.73,12.15,car_aggr3
r_axs_tun_aEr_eGo_1_small_truck.0,9372.41,lane_entry_C,lane_exit_B,9473.79,11.19,small_truck
r_luz_tun_aAm_eGo_7_car_aggr3.0,28081.84,lane_entry_C,lane_exit_B,28190.7,10.74,car_aggr3
r_luz_tun_aAm_eGo_7_car_aggr1.1,28316.46,lane_entry_C,lane_exit_B,28412.55,11.49,car_aggr1
r_luz_tun_aAm_eGo_7_car_aggr1.0,28484.45,lane_entry_C,lane_exit_B,28595.69,9.58,car_aggr1
r_luz_tun_aAm_eGo_7_car_aggr3.1,28488.64,lane_entry_C,lane_exit_B,28599.73,11.32,car_aggr3
r_luz_tun_aEr_eGo_7_car_aggr3.0,28496.98,lane_entry_C,lane_exit_B,28603.61,13.26,car_aggr3
r_luz_tun_aAm_eGo_7_car_aggr1.2,28839.74,lane_entry_C,lane_exit_B,28944.64,10.2,car_aggr1
r_luz_tun_aAm_eGo_7_car_aggr2.0,28844.92,lane_entry_C,lane_exit_B,28949.49,12.76,car_aggr2
r_luz_tun_aAm_eGo_7_small_truck.0,29174.24,lane_entry_C,lane_exit_B,29265.63,11.47,small_truck
r_luz_tun_aAm_eGo_7_car_aggr1.3,29305.3,lane_entry_C,lane_exit_B,29414.62,9.95,car_aggr1
r_luz_tun_aEr_eGo_7_car_aggr3.1,29309.52,lane_entry_C,lane_exit_B,29418.81,11.57,car_aggr3
r_luz_tun_aAm_eGo_7_car_aggr2.1,29739.79,lane_entry_C,lane_exit_B,29859.77,8.79,car_aggr2
r_luz_tun_aEr_eGo_7_car_aggr2.0,29745.06,lane_entry_C,lane_exit_B,29864.69,11.45,car_aggr2
r_luz_tun_aEr_eGo_7_small_truck.0,29748.54,lane_entry_C,lane_exit_B,29868.56,11.1,small_truck
r_luz_tun_aEr_eGo_7_small_truck.1,29890.61,lane_entry_C,lane_exit_B,29993.74,10.18,small_truck
r_luz_tun_aAm_eGo_7_car_aggr1.4,29897.07,lane_entry_C,lane_exit_B,30000.13,12.9,car_aggr1
r_luz_tun_aAm_eGo_7_big_truck.0,29962.34,lane_entry_C,lane_exit_B,30066.7,10.43,big_truck
r_luz_tun_aAm_eGo_7_car_aggr5.0,29965.76,lane_entry_C,lane_exit_B,30069.99,11.84,car_aggr5
r_luz_tun_aAm_eGo_7_small_truck.1,30051.62,lane_entry_C,lane_exit_B,30154.18,12.08,small_truck
r_luz_tun_aAm_eGo_7_car_aggr4.0,30055.31,lane_entry_C,lane_exit_B,30158.44,11.06,car_aggr4
r_luz_tun_aEr_eGo_7_car_aggr5.0,30354.53,lane_entry_C,lane_exit_B,30432.99,13.27,car_aggr5
r_luz_tun_aEr_eGo_7_car_aggr5.1,31168.93,lane_entry_C,lane_exit_B,31270.12,14.15,car_aggr5
r_luz_tun_aEr_eGo_7_small_truck.2,31173.47,lane_entry_C,lane_exit_B,31274.14,13.9,small_truck
r_axs_tun_aAm_eGo_8_car_aggr3.0,31177.67,lane_entry_C,lane_exit_B,31278.67,12.45,car_aggr3
r_luz_tun_aEr_eGo_7_small_truck.3,31346.67,lane_entry_C,lane_exit_B,31449.27,12.57,small_truck
r_axs_tun_aEr_eGo_8_car_aggr5.0,31349.86,lane_entry_C,lane_exit_B,31452.35,14.37,car_aggr5
r_axs_tun_aAm_eGo_8_car_aggr4.0,31353.8,lane_entry_C,lane_exit_B,31456.66,10.9,car_aggr4
r_luz_tun_aAm_eGo_8_car_aggr5.0,31356.86,lane_entry_C,lane_exit_B,31459.72,13.99,car_aggr5
r_luz_tun_aAm_eGo_8_small_truck.0,31559.31,lane_entry_C,lane_exit_B,31657.38,12.44,small_truck
r_luz_tun_aEr_eGo_8_car_aggr3.0,31604.3,lane_entry_C,lane_exit_B,31701.88,11.1,car_aggr3
r_axs_tun_aAm_eGo_8_car_aggr4.1,31607.92,lane_entry_C,lane_exit_B,31705.2,13.99,car_aggr4
r_axs_tun_aAm_eGo_8_car_aggr3.1,31763.67,lane_entry_C,lane_exit_B,31857.72,11.97,car_aggr3
r_axs_tun_aAm_eGo_8_car_aggr3.2,31767.78,lane_entry_C,lane_exit_B,31861.77,13.16,car_aggr3
r_axs_tun_aEr_eGo_8_car_aggr3.0,31771.85,lane_entry_C,lane_exit_B,31866.18,13.71,car_aggr3
r_axs_tun_aAm_eGo_8_car_aggr1.0,32004.68,lane_entry_C,lane_exit_B,32109.55,9.77,car_aggr1
r_axs_tun_aEr_eGo_8_car_aggr5.1,32007.78,lane_entry_C,lane_exit_B,32112.8,12.02,car_aggr5
