vehID,depart,from,to,arrival,arrival_speed,type
r_alt_round_5_1_car_aggr5.0,3910.17,lane_entry_B,lane_exit_A,4135.77,16.98,car_aggr5
r_alt_round4_4_car_aggr4.0,17962.03,lane_entry_B,lane_exit_B,18321.97,12.28,car_aggr4
r_alt_round3_4_car_aggr5.0,18025.54,lane_entry_B,lane_exit_B,18373.09,13.71,car_aggr5
r_alt_round3_5_car_aggr4.0,18582.17,lane_entry_B,lane_exit_B,18964.65,11.72,car_aggr4
r_alt_round4_5_car_aggr2.0,19107.64,lane_entry_B,lane_exit_B,19582.07,10.11,car_aggr2
r_alt_round3_5_car_aggr3.0,19967.92,lane_entry_B,lane_exit_B,20289.92,15.01,car_aggr3
r_alt_round3_5_car_aggr2.0,20073.91,lane_entry_B,lane_exit_B,20549.25,9.38,car_aggr2
r_alt_round4_5_car_aggr3.0,20107.08,lane_entry_B,lane_exit_B,20462.64,12.65,car_aggr3
r_alt_round4_5_car_aggr3.1,20130.11,lane_entry_B,lane_exit_B,20517.79,11.44,car_aggr3
r_alt_round3_5_small_truck.0,20416.93,lane_entry_B,lane_exit_B,20815.31,11.26,small_truck
r_alt_round3_5_car_aggr5.0,20738.26,lane_entry_B,lane_exit_B,21190.58,9.26,car_aggr5
r_alt_round3_5_car_aggr4.1,20992.9,lane_entry_B,lane_exit_B,21338.99,13.85,car_aggr4
r_alt_round4_5_small_truck.0,21215.11,lane_entry_B,lane_exit_B,21622.3,11.62,small_truck
r_alt_round3_5_car_aggr3.1,21591.96,lane_entry_B,lane_exit_B,21934.51,13.83,car_aggr3
r_alt_round4_5_car_aggr4.0,21690.59,lane_entry_B,lane_exit_B,22033.72,8.58,car_aggr4
r_alt_round4_5_small_truck.1,21749.83,lane_entry_B,lane_exit_B,22134.13,12.28,small_truck
r_alt_round4_6_car_aggr3.0,21775.65,lane_entry_B,lane_exit_B,22138.45,12.0,car_aggr3
r_alt_round4_6_car_aggr4.0,21839.0,lane_entry_B,lane_exit_B,22208.44,12.7,car_aggr4
r_alt_round3_6_motorbike.0,21856.38,lane_entry_B,lane_exit_B,22265.42,11.04,motorbike
r_alt_and_1_6_car_aggr3.0,21860.83,lane_entry_B,lane_exit_D,22097.26,19.11,car_aggr3
r_alt_round3_6_car_aggr4.0,21864.69,lane_entry_B,lane_exit_B,22269.46,10.28,car_aggr4
r_alt_round3_6_car_aggr3.0,21939.6,lane_entry_B,lane_exit_B,22359.22,11.25,car_aggr3
r_alt_round3_6_car_aggr5.0,21985.61,lane_entry_B,lane_exit_B,22362.59,10.34,car_aggr5
r_alt_round4_6_car_aggr5.0,22005.58,lane_entry_B,lane_exit_B,22379.8,12.99,car_aggr5
r_alt_round3_6_car_aggr1.0,22149.03,lane_entry_B,lane_exit_B,22572.84,10.89,car_aggr1
r_alt_round_5_6_car_aggr2.0,22183.72,lane_entry_B,lane_exit_A,22491.55,13.06,car_aggr2
r_alt_round4_6_car_aggr1.0,22231.96,lane_entry_B,lane_exit_B,22659.36,11.03,car_aggr1
r_alt_round3_6_car_aggr2.0,22259.53,lane_entry_B,lane_exit_B,22650.85,11.72,car_aggr2
r_alt_round3_6_car_aggr3.1,22291.83,lane_entry_B,lane_exit_B,22752.1,9.75,car_aggr3
r_alt_round3_6_car_aggr3.2,22302.86,lane_entry_B,lane_exit_B,22756.8,10.1,car_aggr3
r_alt_round4_6_car_aggr3.1,22340.52,lane_entry_B,lane_exit_B,22852.57,8.73,car_aggr3
r_alt_round3_6_car_aggr4.1,22383.11,lane_entry_B,lane_exit_B,22760.73,10.04,car_aggr4
r_alt_and_1_6_big_truck.0,22672.12,lane_entry_B,lane_exit_D,22961.97,15.32,big_truck
r_alt_round3_6_car_aggr4.2,22677.09,lane_entry_B,lane_exit_B,23077.55,11.68,car_aggr4
r_alt_round4_6_small_truck.0,22713.65,lane_entry_B,lane_exit_B,23107.5,11.34,small_truck
r_alt_round4_6_car_aggr1.1,22743.63,lane_entry_B,lane_exit_B,23145.18,11.43,car_aggr1
r_alt_round4_6_car_aggr2.0,22868.85,lane_entry_B,lane_exit_B,23308.14,10.11,car_aggr2
r_alt_round3_6_car_aggr5.1,22904.28,lane_entry_B,lane_exit_B,23232.0,14.26,car_aggr5
r_alt_round4_6_small_truck.1,22990.38,lane_entry_B,lane_exit_B,23444.37,10.09,small_truck
r_alt_round3_6_small_truck.0,23000.41,lane_entry_B,lane_exit_B,23376.07,12.28,small_truck
