lat,lon,sumo_x,sumo_y,sumo_bbox_polygon,sumo_polygon
46.77655528855804,8.669781680192823,19506.940122011933,31002.903306963854,"[(19489.862860005058, 30993.63080618158), (19489.930995523406, 31009.843491883017), (19523.94125827134, 31009.700656354427), (19523.873214614927, 30993.48797061015)]","[(19489.91516415798, 31006.076459322125), (19522.49076445977, 31009.70674417168), (19523.88902460673, 30997.25500310771), (19491.313357730687, 30993.624710496515), (19489.91516415798, 31006.076459322125)]"
46.79338883242054,8.669681612057497,19507.160192854702,32873.5135896327,"[(19501.566805658687, 32866.6660189135), (19501.61411892128, 32877.92270088196), (19512.970239836897, 32877.87498037424), (19512.92294788343, 32866.618298394606)]","[(19501.599780145218, 32874.511248379946), (19509.59698348859, 32877.889153174125), (19512.937280184706, 32870.029750860296), (19504.940068334632, 32866.65184162278), (19501.599780145218, 32874.511248379946)]"
46.79293156855161,8.668701828114525,19432.170815389312,32823.01609719545,"[(19419.798281550175, 32814.22626429796), (19419.874048980884, 32832.194727482274), (19437.90050290036, 32832.11874250509), (19437.824789463077, 32814.1502792947)]","[(19437.86196721706, 32822.97338361479), (19428.76574420469, 32814.18845804501), (19419.83684466366, 32823.37162304763), (19428.925435238518, 32832.156567374244), (19437.86196721706, 32822.97338361479)]"
46.80234035726052,8.666335659006759,19256.026147106197,33869.30625333078,"[(19244.806910456973, 33860.87985105254), (19244.876808493806, 33877.33707886562), (19267.50133407442, 33877.24102930538), (19267.431498124264, 33860.7838014625)]","[(19244.83008392621, 33866.33596096933), (19247.967173705518, 33877.32395407837), (19267.478181150975, 33871.784919285215), (19264.341124426923, 33860.79691618681), (19244.83008392621, 33866.33596096933)]"
46.79994001022451,8.66617615711923,19242.722387745453,33602.6256621005,"[(19235.227481915674, 33594.37759846635), (19235.28946901759, 33608.96796376258), (19249.811020131223, 33608.90628653206), (19249.74906835612, 33594.3159212172)]","[(19235.267138538067, 33603.711876301095), (19244.385469502944, 33608.92932630051), (19249.771386078326, 33599.57200860605), (19240.660676630272, 33594.3545180494), (19235.267138538067, 33603.711876301095)]"
46.79276797918011,8.66885528320377,19443.805731421802,32804.78833485488,"[(19436.74817274412, 32795.91933609452), (19436.8010851132, 32808.47614670545), (19450.72928499477, 32808.41747163795), (19450.676401779172, 32795.86066101212)]","[(19436.793546265166, 32806.68707898352), (19449.164747473027, 32808.42406092398), (19450.68393646134, 32797.64972870611), (19438.312713539053, 32795.91274358239), (19436.793546265166, 32806.68707898352)]"
46.77576932429818,8.668414945559338,19402.23273467354,30916.004575572908,"[(19390.015447609185, 30905.45219268836), (19390.075083643605, 30919.586896688677), (19412.145825300715, 30919.493818025105), (19412.08624123741, 30905.359113999642)]","[(19402.00414019107, 30911.502323008142), (19402.201682694256, 30905.84528535232), (19390.52694645786, 30905.450034637004), (19390.316584252112, 30911.684970943257), (19390.071567364503, 30918.753482528962), (19411.855722158565, 30919.49504094664), (19412.11355058418, 30911.837519971654), (19402.00414019107, 30911.502323008142)]"
46.79818019498019,8.667524709144516,19344.801584127184,33406.634688056074,"[(19332.952143147064, 33387.416424872354), (19333.109304813726, 33424.55350501556), (19356.72758115607, 33424.4536002595), (19356.570565725793, 33387.31652004644)]","[(19333.091905065114, 33420.44197898079), (19346.387431087787, 33424.49732740689), (19356.58818411053, 33391.48360703513), (19343.292357226775, 33387.37267480418), (19333.091905065114, 33420.44197898079)]"
46.790677668119336,8.668309816095482,19401.196140707238,32572.683891747147,"[(19389.664339344192, 32562.279320442118), (19389.745444795873, 32581.4923448544), (19409.115915925882, 32581.410605915822), (19409.03487250692, 32562.197581472807)]","[(19389.708762023773, 32572.802590536885), (19400.76631173928, 32581.445831657387), (19409.07152716501, 32570.887335659936), (19398.01397026243, 32562.24407934863), (19389.708762023773, 32572.802590536885)]"
46.79787117767993,8.67282330702817,19749.001535822055,33370.59923765808,"[(19743.78442299465, 33364.044881304726), (19743.826385064807, 33374.123675720766), (19754.822899987397, 33374.077902858146), (19754.78095639532, 33363.99910843279)]","[(19743.812922034296, 33370.8900161935), (19752.144359571626, 33374.08905039355), (19754.794367239287, 33367.2216556957), (19746.462967909523, 33364.03373005241), (19743.812922034296, 33370.8900161935)]"
